UNIQUE KEY,DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
3395803,02/28/2016,2:30,MANHATTAN,10013.0,40.7193963,-74.00188309999999,"(40.7193963, -74.0018831)",CANAL STREET,BROADWAY,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
3396172,02/28/2016,2:30,BROOKLYN,11238.0,40.684065600000004,-73.956257,"(40.6840656, -73.956257)",FRANKLIN AVENUE,MADISON STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,PASSENGER VEHICLE,TAXI,,,
3396585,02/28/2016,23:45,BROOKLYN,11224.0,40.575695700000004,-73.9932613,"(40.5756957, -73.9932613)",WEST 27 STREET,MERMAID AVENUE,,0,0,0,0,0,0,0,0,Traffic Control Disregarded,Unspecified,Unspecified,,,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,
3396796,02/28/2016,22:50,,,,,,233 STREET,129 AVENUE,,0,0,0,0,0,0,0,0,Unspecified,,,,,PASSENGER VEHICLE,,,,
3398433,02/28/2016,18:45,QUEENS,11106.0,40.76235,-73.9261862,"(40.76235, -73.9261862)",30 STREET,BROADWAY,,0,0,0,0,0,0,0,0,Unspecified,,,,,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
3395859,02/28/2016,22:28,MANHATTAN,10001.0,40.7503184,-73.99111059999998,"(40.7503184, -73.9911106)",WEST 33 STREET,7 AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
3396569,02/28/2016,22:27,BRONX,10467.0,40.8780126,-73.8805238,"(40.8780126, -73.8805238)",ROCHAMBEAU AVENUE,EAST 208 STREET,,0,0,0,0,0,0,0,0,Unspecified,,,,,SPORT UTILITY / STATION WAGON,UNKNOWN,,,
3396453,02/28/2016,21:18,MANHATTAN,10023.0,40.7746797,-73.9822003,"(40.7746797, -73.9822003)",BROADWAY,WEST 67 STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,PASSENGER VEHICLE,UNKNOWN,,,
3396880,02/28/2016,20:00,,,40.791842200000005,-73.82351870000001,"(40.7918422, -73.8235187)",,,,0,0,0,0,0,0,0,0,Fatigued/Drowsy,Unspecified,,,,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
3396597,02/28/2016,19:45,BROOKLYN,11223.0,40.6044119,-73.974204,"(40.6044119, -73.974204)",KINGS HIGHWAY,WEST 1 STREET,,0,0,0,0,0,0,0,0,Other Electronic Device,Other Electronic Device,Other Electronic Device,,,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,,
3395985,02/28/2016,6:50,BRONX,10453.0,40.848639399999996,-73.91167940000001,"(40.8486394, -73.9116794)",JEROME AVENUE,EAST 176 STREET,,0,0,0,0,0,0,0,0,Unspecified,,,,,SPORT UTILITY / STATION WAGON,,,,
3396704,02/28/2016,7:00,BROOKLYN,11221.0,40.6966299,-73.9185632,"(40.6966299, -73.9185632)",WILSON AVENUE,MENAHAN STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
3395909,02/28/2016,7:00,MANHATTAN,10031.0,40.8226439,-73.9532176,"(40.8226439, -73.9532176)",WEST 139 STREET,BROADWAY,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,SPORT UTILITY / STATION WAGON,TAXI,,,
3396845,02/28/2016,7:00,,,40.7353396,-73.916885,"(40.7353396, -73.916885)",,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,PASSENGER VEHICLE,UNKNOWN,,,
3396093,02/28/2016,7:05,BROOKLYN,11236.0,40.6462644,-73.912686,"(40.6462644, -73.912686)",REMSEN AVENUE,AVENUE D,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
3399329,02/28/2016,7:15,,,,,,BRUCKNER BOULEVARD,WHITE PLAINS ROAD,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,SPORT UTILITY / STATION WAGON,UNKNOWN,,,
3395872,02/28/2016,19:30,,,,,,COLUMBUS CIRCLE,BROADWAY,,0,0,0,0,0,0,0,0,Fatigued/Drowsy,Unspecified,,,,VAN,PASSENGER VEHICLE,,,
3395866,02/28/2016,7:20,MANHATTAN,10016.0,40.750218,-73.979056,"(40.750218, -73.979056)",EAST 39 STREET,PARK AVENUE,,0,0,0,0,0,0,0,0,Other Vehicular,Other Vehicular,,,,TAXI,PASSENGER VEHICLE,,,
3396661,02/28/2016,7:45,BROOKLYN,11212.0,40.6624585,-73.9201116,"(40.6624585, -73.9201116)",EAST 98 STREET,DUMONT AVENUE,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
